Player,Value
Erling Haaland,€198.8M
Martin Ødegaard,€120.3M
Alexander Isak,€107.8M
Cole Palmer,€105.7M
Declan Rice,€87M
Alexis Mac Allister,€83.2M
Phil Foden,€79.5M
Bukayo Saka,€78.7M
Ryan Gravenberch,€73.7M
Bruno Guimarães,€71.3M
Moisés Caicedo,€71M
William Saliba,€70.5M
Morgan Rogers,€69M
Murillo,€67.5M
Cody Gakpo,€66.2M
Nicolas Jackson,€65.5M
Kobbie Mainoo,€62.2M
Rico Lewis,€61.7M
Matheus Cunha,€61.5M
Gabriel Martinelli,€61.3M
Eberechi Eze,€60.7M
Amadou Onana,€60.5M
Micky van de Ven,€60.1M
Destiny Udogie,€59.4M
Ben White,€58.8M
Illia Zabarnyi,€58.5M
Diogo Jota,€58.1M
Rúben Dias,€57.2M
Archie Gray,€56.4M
James Maddison,€55.8M
Ibrahima Konaté,€54.9M
Bryan Mbeumo,€54.6M
Levi Colwill,€53.6M
Pedro Porro,€52.2M
Trent Alexander-Arnold,€51.7M
Noni Madueke,€51.6M
João Gomes,€50.8M
Pape Matar Sarr,€50M
Kaoru Mitoma,€49.3M
Bernardo Silva,€49.2M
Anthony Gordon,€48.5M
Valentino Livramento,€48.5M
Riccardo Calafiori,€48.4M
Lisandro Martínez,€47.7M
Adam Wharton,€46.5M
Amad Diallo,€45.3M
Rayan Aït-Nouri,€45M
Justin Kluivert,€43.7M
Joshua Zirkzee,€43M
Noussair Mazraoui,€42.4M
Manuel Akanji,€41.6M
Ezri Konsa,€41.5M
Yankuba Minteh,€41.3M
Jan Paul van Hecke,€40.6M
Matheus Nunes,€40.5M
Guglielmo Vicario,€39.2M
Youri Tielemans,€38M
Harvey Barnes,€37.7M
Diogo Dalot,€37.4M
Pervis Estupiñán,€36.5M
Liam Delap,€36M
Max Kilman,€34.6M
Edson Álvarez,€34.2M
Jean-Clair Todibo,€32.9M
Joe Willock,€32.7M
Leandro Trossard,€31.8M
Jean-Philippe Mateta,€31.5M
Rodrigo Bentancur,€31.4M
Joachim Andersen,€30.7M
Yoane Wissa,€30.7M
Daniel Muñoz,€30.3M
Jørgen Strand Larsen,€29.9M
Facundo Buonanotte,€29.8M
Bart Verbruggen,€29.4M
Wesley Fofana,€28.6M
Alex Iwobi,€28.5M
Dango Ouattara,€28.5M
Leif Davis,€27.9M
Sander Berge,€27.2M
Maxence Lacroix,€27.1M
Keane Lewis-Potter,€25.9M
Vitaly Janelt,€25.7M
Mateo Kovačić,€25M
Jacob Greaves,€24.9M
Wout Faes,€24.8M
Robert Sánchez,€24.3M
Andrew Robertson,€24M
Carlos Soler,€22.9M
Neco Williams,€22.6M
Tomáš Souček,€22.5M
James Garner,€21.9M
Dean Henderson,€21.4M
Jordan Pickford,€21.3M
Mateus Fernandes,€21.2M
John McGinn,€20.6M
Marcos Senesi,€20.4M
Wilfred Ndidi,€20.1M
Trevoh Chalobah,€19.9M
Kevin De Bruyne,€19.8M
Mads Hermansen,€19M
Djed Spence,€18.8M
Aaron Ramsdale,€18.7M
Toti Gomes,€18.6M
Cameron Archer,€18.3M
Kamaldeen Sulemana,€18M
Ryan Yates,€17.9M
Yehor Yarmoliuk,€17.5M
Emmanuel Agbadou,€17.5M
Jacob Murphy,€17.4M
Issa Diop,€17.2M
Dominic Calvert-Lewin,€17M
Jack Harrison,€16.8M
Caleb Okoli,€16.6M
Kyle Walker-Peters,€16.4M
Ryan Christie,€15.4M
Yukinari Sugawara,€15.4M
Chris Richards,€15.2M
Jens Cajuste,€14.4M
Kenny Tete,€14M
Harry Maguire,€13.6M
Bernd Leno,€13.6M
Guido Rodríguez,€13.4M
Lucas Digne,€13.2M
Jefferson Lerma,€13.1M
Mark Flekken,€13M
Saša Lukić,€11.8M
İlkay Gündoğan,€11.8M
Kepa Arrizabalaga,€11.6M
James Tarkowski,€11.1M
Nick Pope,€11M
Casemiro,€10.7M
Harry Winks,€10.4M
Jack Hinshelwood,€9.1M
Flynn Downes,€8.9M
Dan Burn,€8.5M
Matz Sels,€8.2M
José Sá,€7.8M
Nélson Semedo,€7.5M
Lewis Dunk,€7.3M
Joe Aribo,€6.1M
Kieran Trippier,€5.1M
Raúl Jiménez,€5M
Conor Coady,€2M
Wes Burns,€1.7M
Jannik Vestergaard,€1.5M
Jack Stephens,€1.3M
Ashley Young,€1.2M
Sam Morsy,€1.1M
Łukasz Fabiański,€0.8M
